exposure,health_outcome,article_count,positive,negative,null,mixed,unclear
particulate matter,cardiovascular,472,0,0,0,0,0
PM2.5,cardiovascular,403,0,0,0,0,0
air pollution,cardiovascular,348,0,0,0,0,0
heat/temperature,cardiovascular,318,0,0,0,0,0
particulate matter,asthma,245,0,0,0,0,0
particulate matter,mortality,205,0,0,0,0,0
heat/temperature,mortality,199,0,0,0,0,0
air pollution,asthma,181,0,0,0,0,0
PM2.5,mortality,177,0,0,0,0,0
nitrogen dioxide (NO2),cardiovascular,170,0,0,0,0,0
PM2.5,asthma,168,0,0,0,0,0
particulate matter,respiratory,162,0,0,0,0,0
air pollution,mortality,161,0,0,0,0,0
air pollution,respiratory,133,0,0,0,0,0
nitrogen dioxide (NO2),asthma,125,0,0,0,0,0
PM2.5,respiratory,114,0,0,0,0,0
ozone (O3),cardiovascular,95,0,0,0,0,0
heat/temperature,asthma,86,0,0,0,0,0
heat/temperature,preterm birth,86,0,0,0,0,0
heat/temperature,respiratory,81,0,0,0,0,0
PM10,cardiovascular,79,0,0,0,0,0
nitrogen dioxide (NO2),mortality,73,0,0,0,0,0
particulate matter,immune/inflammation,70,0,0,0,0,0
ozone (O3),asthma,66,0,0,0,0,0
PM2.5,birth weight,65,0,0,0,0,0
nitrogen dioxide (NO2),respiratory,62,0,0,0,0,0
black carbon,cardiovascular,58,0,0,0,0,0
particulate matter,maternal blood pressure,58,0,0,0,0,0
PM2.5,preterm birth,57,0,0,0,0,0
PFAS,birth weight,54,0,0,0,0,0
particulate matter,birth weight,53,0,0,0,0,0
PFAS,cardiovascular,51,0,0,0,0,0
PM2.5,immune/inflammation,49,0,0,0,0,0
PFAS,reproductive,48,0,0,0,0,0
particulate matter,preterm birth,47,0,0,0,0,0
PM2.5,maternal blood pressure,46,0,0,0,0,0
heat/temperature,cardiovascular mortality,46,0,0,0,0,0
PM10,asthma,45,0,0,0,0,0
ozone (O3),mortality,45,0,0,0,0,0
PM2.5,diabetes,44,0,0,0,0,0
air pollution,immune/inflammation,44,0,0,0,0,0
air pollution,maternal blood pressure,44,0,0,0,0,0
nitrogen dioxide (NO2),birth weight,44,0,0,0,0,0
air pollution,birth weight,41,0,0,0,0,0
particulate matter,cardiovascular mortality,40,0,0,0,0,0
PFAS,neurodevelopment,38,0,0,0,0,0
PM2.5,cardiovascular mortality,37,0,0,0,0,0
air pollution,preterm birth,37,0,0,0,0,0
PFAS,thyroid,36,0,0,0,0,0
PM10,mortality,36,0,0,0,0,0
heat/temperature,pregnancy outcomes,35,0,0,0,0,0
particulate matter,diabetes,33,0,0,0,0,0
air pollution,hypertension,32,0,0,0,0,0
nitrogen dioxide (NO2),preterm birth,32,0,0,0,0,0
noise,cardiovascular,32,0,0,0,0,0
ozone (O3),respiratory,32,0,0,0,0,0
PM10,respiratory,31,0,0,0,0,0
PFAS,birth weight/fetal growth,30,0,0,0,0,0
PFAS,diabetes,30,0,0,0,0,0
black carbon,asthma,30,0,0,0,0,0
wildfire smoke,cardiovascular,30,0,0,0,0,0
PM2.5,hypertension,29,0,0,0,0,0
air pollution,diabetes,29,0,0,0,0,0
particulate matter,hypertension,29,0,0,0,0,0
PFAS,asthma,28,0,0,0,0,0
air pollution,pregnancy outcomes,28,0,0,0,0,0
wildfire smoke,asthma,28,0,0,0,0,0
wildfire smoke,respiratory,27,0,0,0,0,0
air pollution,cardiovascular mortality,26,0,0,0,0,0
heat/temperature,hypertension,26,0,0,0,0,0
PFAS,immune,25,0,0,0,0,0
PFAS,pregnancy outcomes,25,0,0,0,0,0
heat/temperature,diabetes,25,0,0,0,0,0
lead,cardiovascular,25,0,0,0,0,0
PFAS,liver,24,0,0,0,0,0
heat/temperature,birth weight,23,0,0,0,0,0
nitrogen dioxide (NO2),diabetes,23,0,0,0,0,0
particulate matter,birth weight/fetal growth,23,0,0,0,0,0
PFAS,preterm birth,21,0,0,0,0,0
heat/temperature,maternal blood pressure,21,0,0,0,0,0
PM2.5,autism spectrum disorder,20,0,0,0,0,0
PFAS,maternal blood pressure,19,0,0,0,0,0
PM10,birth weight,19,0,0,0,0,0
PM2.5,pregnancy outcomes,19,0,0,0,0,0
black carbon,mortality,19,0,0,0,0,0
green space/greenness,cardiovascular,19,0,0,0,0,0
ozone (O3),birth weight,19,0,0,0,0,0
